model_name,model_family,fold,accuracy,recall,f1,roc_auc,fit_sample_count,fit_strategy
LogisticRegression,classical,1,0.8289473684210527,0.8771929824561403,0.8849557522123894,0.8227146814404432,680,full_dataset
LogisticRegression,classical,2,0.8289473684210527,0.9122807017543859,0.8888888888888888,0.827331486611265,680,full_dataset
LogisticRegression,classical,3,0.8026315789473685,0.8421052631578947,0.8648648648648649,0.8568790397045245,680,full_dataset
LogisticRegression,classical,4,0.8421052631578947,0.8947368421052632,0.8947368421052632,0.8688827331486612,680,full_dataset
LogisticRegression,classical,5,0.8157894736842105,0.8928571428571429,0.8771929824561403,0.8589285714285714,680,full_dataset
LogisticRegression,classical,6,0.868421052631579,0.9107142857142857,0.9107142857142857,0.89375,680,full_dataset
LogisticRegression,classical,7,0.8666666666666667,0.9642857142857143,0.9152542372881356,0.9257518796992481,681,full_dataset
LogisticRegression,classical,8,0.8133333333333334,0.8928571428571429,0.8771929824561403,0.8872180451127819,681,full_dataset
LogisticRegression,classical,9,0.8533333333333334,0.8928571428571429,0.9009009009009009,0.9520676691729324,681,full_dataset
LogisticRegression,classical,10,0.7866666666666666,0.8392857142857143,0.8545454545454545,0.8364661654135339,681,full_dataset
SVM,classical,1,0.9210526315789473,1.0,0.95,0.9510618651892889,680,full_dataset
SVM,classical,2,0.8026315789473685,0.9649122807017544,0.88,0.7996306555863342,680,full_dataset
SVM,classical,3,0.868421052631579,0.9824561403508771,0.9180327868852459,0.830101569713758,680,full_dataset
SVM,classical,4,0.868421052631579,1.0,0.9193548387096774,0.9048938134810711,680,full_dataset
SVM,classical,5,0.881578947368421,1.0,0.9256198347107438,0.9616071428571429,680,full_dataset
SVM,classical,6,0.8552631578947368,1.0,0.9105691056910569,0.8812500000000001,680,full_dataset
SVM,classical,7,0.84,1.0,0.9032258064516129,0.9069548872180451,681,full_dataset
SVM,classical,8,0.8666666666666667,1.0,0.9180327868852459,0.8853383458646616,681,full_dataset
SVM,classical,9,0.8266666666666667,0.9464285714285714,0.8907563025210085,0.8787593984962406,681,full_dataset
SVM,classical,10,0.8133333333333334,0.9642857142857143,0.8852459016393442,0.8684210526315789,681,full_dataset
RandomForest,classical,1,0.9473684210526315,1.0,0.9661016949152542,0.9935364727608494,680,full_dataset
RandomForest,classical,2,0.8289473684210527,0.9649122807017544,0.8943089430894309,0.9035087719298245,680,full_dataset
RandomForest,classical,3,0.868421052631579,0.9824561403508771,0.9180327868852459,0.8961218836565097,680,full_dataset
RandomForest,classical,4,0.9342105263157895,1.0,0.957983193277311,0.9796860572483841,680,full_dataset
RandomForest,classical,5,0.9078947368421053,1.0,0.9411764705882353,0.9772321428571429,680,full_dataset
RandomForest,classical,6,0.881578947368421,1.0,0.9256198347107438,0.9575892857142858,680,full_dataset
RandomForest,classical,7,0.8533333333333334,0.9642857142857143,0.907563025210084,0.9530075187969925,681,full_dataset
RandomForest,classical,8,0.92,1.0,0.9491525423728814,0.968515037593985,681,full_dataset
RandomForest,classical,9,0.88,0.9464285714285714,0.9217391304347826,0.9454887218045113,681,full_dataset
RandomForest,classical,10,0.8666666666666667,0.9642857142857143,0.9152542372881356,0.9619360902255638,681,full_dataset
XGBoost,classical,1,0.9473684210526315,1.0,0.9661016949152542,0.9833795013850415,680,full_dataset
XGBoost,classical,2,0.881578947368421,0.9649122807017544,0.9243697478991597,0.9390581717451524,680,full_dataset
XGBoost,classical,3,0.881578947368421,0.9824561403508771,0.9256198347107438,0.8938134810710989,680,full_dataset
XGBoost,classical,4,0.9605263157894737,1.0,0.9743589743589743,0.9926131117266851,680,full_dataset
XGBoost,classical,5,0.9342105263157895,1.0,0.9572649572649573,0.9785714285714285,680,full_dataset
XGBoost,classical,6,0.9078947368421053,1.0,0.9411764705882353,0.9607142857142856,680,full_dataset
XGBoost,classical,7,0.9066666666666666,0.9821428571428571,0.9401709401709402,0.9708646616541352,681,full_dataset
XGBoost,classical,8,0.92,0.9821428571428571,0.9482758620689655,0.9793233082706766,681,full_dataset
XGBoost,classical,9,0.9066666666666666,0.9464285714285714,0.9380530973451328,0.9530075187969924,681,full_dataset
XGBoost,classical,10,0.9066666666666666,0.9642857142857143,0.9391304347826087,0.9530075187969924,681,full_dataset
KNN,classical,1,0.9210526315789473,1.0,0.95,0.974145891043398,680,full_dataset
KNN,classical,2,0.8421052631578947,0.9824561403508771,0.9032258064516129,0.8845798707294551,680,full_dataset
KNN,classical,3,0.881578947368421,0.9824561403508771,0.9256198347107438,0.9385964912280702,680,full_dataset
KNN,classical,4,0.8552631578947368,0.9824561403508771,0.9105691056910569,0.894275161588181,680,full_dataset
KNN,classical,5,0.8552631578947368,1.0,0.9105691056910569,0.9580357142857142,680,full_dataset
KNN,classical,6,0.868421052631579,0.9642857142857143,0.9152542372881356,0.940625,680,full_dataset
KNN,classical,7,0.8666666666666667,0.9821428571428571,0.9166666666666666,0.9525375939849624,681,full_dataset
KNN,classical,8,0.8666666666666667,0.9821428571428571,0.9166666666666666,0.9426691729323309,681,full_dataset
KNN,classical,9,0.88,0.9285714285714286,0.9203539823008849,0.919172932330827,681,full_dataset
KNN,classical,10,0.8533333333333334,0.9464285714285714,0.905982905982906,0.9064849624060151,681,full_dataset
QSVM,quantum,1,0.75,1.0,0.8571428571428571,0.3527239150507848,32,stratified_subsample
QSVM,quantum,2,0.75,1.0,0.8571428571428571,0.26500461680517085,32,stratified_subsample
QSVM,quantum,3,0.75,1.0,0.8571428571428571,0.42474607571560485,32,stratified_subsample
QSVM,quantum,4,0.75,1.0,0.8571428571428571,0.394275161588181,32,stratified_subsample
QSVM,quantum,5,0.7368421052631579,1.0,0.8484848484848485,0.3660714285714286,32,stratified_subsample
QSVM,quantum,6,0.7368421052631579,1.0,0.8484848484848485,0.4598214285714286,32,stratified_subsample
QSVM,quantum,7,0.7466666666666667,1.0,0.8549618320610687,0.3449248120300752,32,stratified_subsample
QSVM,quantum,8,0.7466666666666667,1.0,0.8549618320610687,0.37312030075187974,32,stratified_subsample
QSVM,quantum,9,0.7466666666666667,1.0,0.8549618320610687,0.40131578947368424,32,stratified_subsample
QSVM,quantum,10,0.7466666666666667,1.0,0.8549618320610687,0.3966165413533835,32,stratified_subsample
VQC,quantum,1,0.47368421052631576,0.49122807017543857,0.5833333333333334,0.5018467220683287,32,stratified_subsample
VQC,quantum,2,0.4868421052631579,0.49122807017543857,0.5894736842105263,0.4552169898430286,32,stratified_subsample
VQC,quantum,3,0.618421052631579,0.6666666666666666,0.7238095238095238,0.5433979686057249,32,stratified_subsample
VQC,quantum,4,0.3684210526315789,0.3157894736842105,0.42857142857142855,0.3785780240073868,32,stratified_subsample
VQC,quantum,5,0.4473684210526316,0.4642857142857143,0.5531914893617021,0.46339285714285716,32,stratified_subsample
VQC,quantum,6,0.5921052631578947,0.6071428571428571,0.6868686868686869,0.5526785714285715,32,stratified_subsample
VQC,quantum,7,0.48,0.4107142857142857,0.5411764705882353,0.5695488721804511,32,stratified_subsample
VQC,quantum,8,0.5333333333333333,0.5178571428571429,0.6236559139784946,0.600563909774436,32,stratified_subsample
VQC,quantum,9,0.4533333333333333,0.44642857142857145,0.5494505494505495,0.5108082706766918,32,stratified_subsample
VQC,quantum,10,0.5866666666666667,0.6071428571428571,0.6868686868686869,0.519266917293233,32,stratified_subsample
