model_name,model_family,feature_mode,actual_label,predicted_label,count
PSO-SVM,swarm,pso_top10,0,0,95
PSO-SVM,swarm,pso_top10,0,1,97
PSO-SVM,swarm,pso_top10,1,0,21
PSO-SVM,swarm,pso_top10,1,1,543
