feature_method,model,n_folds,accuracy_mean,accuracy_std,accuracy_ci_lower,accuracy_ci_upper,precision_mean,precision_std,precision_ci_lower,precision_ci_upper,recall_mean,recall_std,recall_ci_lower,recall_ci_upper,f1_mean,f1_std,f1_ci_lower,f1_ci_upper,roc_auc_mean,roc_auc_std,roc_auc_ci_lower,roc_auc_ci_upper,training_time_mean
classical,MLP,2,0.8515815615196932,0.029213140467061693,0.48039341775105787,1.2227697052883286,0.8722560975609757,0.013922764227642326,0.6953506047874793,1.049161590334472,0.9380530973451326,0.026548672566371667,0.6007202282363162,1.275385966453949,0.9039244926165708,0.01980432094275114,0.6522867360519649,1.1555622491811768,0.8791127751304741,0.01911731336510092,0.6362042775029723,1.122021272757976,0.459114670753479
classical,QNN,2,0.6862364935517602,0.07034245381666082,-0.20754912630575129,1.5800221134092718,0.7455914347875874,0.022014199015229552,0.4658745149915189,1.0253083545836559,0.8761061946902655,0.08849557522123891,-0.2483367023391232,2.0005490917196544,0.8045696244599534,0.05033233632436024,0.16503665425967418,1.4441025946602326,0.6054124419285108,0.10005613079669906,-0.665921241109576,1.8767461249665978,457.5350304841995
classical,XGBoost,2,0.8581387242941791,0.016033461136284455,0.6544142844629217,1.0618631641254366,0.8735172597627616,0.01172864187658268,0.7244907347986109,1.0225437847269123,0.9469026548672567,0.008849557522123908,0.8344583651643176,1.0593469445701957,0.9087270104579878,0.010421925712225,0.7763038886105711,1.0411501323054044,0.8625303046588562,0.0010957448079013665,0.848607546790779,0.8764530625269333,0.26046180725097656
quantum_inspired,MLP,2,0.7985578598814917,0.03696845590798187,0.3288290903249115,1.2682866294380721,0.8339234198793601,0.02091528979805929,0.5681694655834093,1.099677374175311,0.9115044247787611,0.026548672566371667,0.5741715556699447,1.2488372938875776,0.8709861975255667,0.02352857040692269,0.5720273647796497,1.1699450302714838,0.8018911301398493,0.006595368612136221,0.7180890262418085,0.88569323403789,0.39014363288879395
quantum_inspired,QNN,2,0.6566747995817358,0.02753572673405369,0.30680021813240294,1.0065493810310686,0.7882115643209323,0.005602868668758365,0.7170203679043478,0.8594027607375169,0.7389380530973451,0.057522123893805344,0.008050170028241932,1.469825936166448,0.7614035087719297,0.028070175438596523,0.4047381126615548,1.1180689048823047,0.6074904756786452,0.00685512283090306,0.520387881495801,0.6945930698614895,459.50083696842194
quantum_inspired,XGBoost,2,0.831692227256884,0.0027448588358313097,0.7968154889162067,0.8665689655975612,0.8571571371451419,0.003498600559776077,0.812703202141631,0.9016110721486527,0.9292035398230089,0.0,,,0.891723764875586,0.0018932564010097352,0.8676676614257958,0.9157798683253763,0.8557975947356478,0.02393918765600178,0.5516213751546213,1.1599738143166742,0.14029276371002197
