Model,Type,Accuracy,Recall,F1-Score,AUC
XGBoost,Classical,0.875,0.9646017699115044,0.919831223628692,0.9373723621511232
Logistic Regression,Classical,0.8552631578947368,0.9380530973451328,0.905982905982906,0.848309507601543
SVM,Classical,0.8223684210526315,0.9646017699115044,0.889795918367347,0.87451781257091
QSVM,Quantum,0.756579,0.973451,0.856031,N/A
VQC/QNN,Quantum,0.743421,0.973451,0.849421,N/A
