Feature,Importance
app_entropy_shannon_3_coef,0.0
tqwt_minValue_dec_27,0.0
app_entropy_log_9_coef,0.0
app_entropy_shannon_4_coef,0.0
app_entropy_shannon_5_coef,0.0
app_entropy_shannon_6_coef,0.0
app_entropy_shannon_7_coef,0.0
app_entropy_shannon_8_coef,0.0
app_entropy_shannon_9_coef,0.0
app_entropy_shannon_10_coef,0.0
det_entropy_shannon_3_coef,0.0
app_entropy_log_2_coef,0.0
app_entropy_log_3_coef,0.0
app_entropy_log_4_coef,0.0
app_entropy_log_5_coef,0.0
tqwt_maxValue_dec_14,0.0
tqwt_maxValue_dec_15,0.0
Ed_9_coef,0.0
tqwt_entropy_log_dec_20,0.0
mean_2nd_delta_delta,0.0
Ea,0.0
tqwt_skewnessValue_dec_32,0.0
det_TKEO_mean_5_coef,0.0
tqwt_entropy_log_dec_24,0.0
tqwt_entropy_log_dec_10,0.0
app_LT_TKEO_mean_10_coef,0.0
app_LT_TKEO_std_2_coef,0.0
tqwt_entropy_log_dec_36,0.0
tqwt_TKEO_mean_dec_2,0.0
tqwt_TKEO_mean_dec_3,0.0
tqwt_TKEO_mean_dec_4,0.0
tqwt_entropy_shannon_dec_5,0.0
tqwt_entropy_log_dec_19,0.0
tqwt_entropy_log_dec_6,0.0
tqwt_entropy_log_dec_7,0.0
Ed_6_coef,0.0
tqwt_entropy_shannon_dec_23,0.0
tqwt_entropy_shannon_dec_14,0.0
tqwt_entropy_shannon_dec_16,0.0
tqwt_entropy_shannon_dec_20,0.0
VFER_entropy,0.0
tqwt_entropy_shannon_dec_10,0.0
tqwt_entropy_shannon_dec_3,0.0
tqwt_energy_dec_29,0.0
tqwt_energy_dec_30,0.0
tqwt_energy_dec_32,0.0
tqwt_maxValue_dec_34,0.0
app_entropy_log_6_coef,0.0
app_entropy_log_7_coef,0.0
app_entropy_log_8_coef,0.0
gender,0.0
det_TKEO_std_2_coef,0.0
tqwt_minValue_dec_22,0.0
tqwt_skewnessValue_dec_5,0.0
det_TKEO_mean_7_coef,0.0
tqwt_maxValue_dec_29,0.0
tqwt_kurtosisValue_dec_3,0.0
tqwt_TKEO_mean_dec_20,0.0
tqwt_TKEO_mean_dec_5,0.0
tqwt_TKEO_mean_dec_6,0.0
tqwt_TKEO_mean_dec_8,0.0
tqwt_TKEO_mean_dec_10,0.0
tqwt_TKEO_std_dec_28,0.0
tqwt_TKEO_std_dec_29,0.0
tqwt_TKEO_mean_dec_24,0.0
tqwt_TKEO_mean_dec_27,0.0
tqwt_TKEO_mean_dec_13,0.0
tqwt_TKEO_mean_dec_16,0.0
tqwt_TKEO_mean_dec_17,0.0
tqwt_TKEO_mean_dec_18,0.0
tqwt_TKEO_mean_dec_29,0.0
tqwt_TKEO_mean_dec_30,0.0
tqwt_TKEO_mean_dec_31,0.0
tqwt_TKEO_mean_dec_32,0.0
tqwt_TKEO_mean_dec_33,0.0
tqwt_TKEO_mean_dec_34,0.0
tqwt_TKEO_mean_dec_23,0.0
tqwt_entropy_shannon_dec_8,0.0
tqwt_maxValue_dec_23,0.0
