Feature,Importance
tqwt_energy_dec_21,0.0020629778
tqwt_skewnessValue_dec_36,0.0020544608
tqwt_meanValue_dec_11,0.0020508866
tqwt_TKEO_mean_dec_7,0.0020423078
tqwt_maxValue_dec_18,0.0020366514
app_entropy_shannon_1_coef,0.0020294813
RPDE,0.0019977435
std_11th_delta_delta,0.001995158
f3,0.0019938028
std_3rd_delta,0.001975587
tqwt_skewnessValue_dec_4,0.0019755685
tqwt_energy_dec_33,0.0019654832
tqwt_entropy_shannon_dec_2,0.0019639353
tqwt_medianValue_dec_26,0.001961984
std_6th_delta,0.0019605209
tqwt_meanValue_dec_6,0.001959984
tqwt_entropy_log_dec_22,0.0019596638
tqwt_meanValue_dec_21,0.0019537245
f4,0.0019322601
det_TKEO_mean_4_coef,0.0019292877
tqwt_medianValue_dec_5,0.0019180871
std_MFCC_2nd_coef,0.001917407
tqwt_meanValue_dec_5,0.0019017496
std_Log_energy,0.0018988773
meanPeriodPulses,0.0018697203
std_MFCC_3rd_coef,0.0018511098
tqwt_skewnessValue_dec_25,0.0018067046
tqwt_kurtosisValue_dec_24,0.0017988916
det_LT_entropy_shannon_7_coef,0.0017887697
meanIntensity,0.001774424
tqwt_entropy_log_dec_26,0.0017112861
tqwt_entropy_shannon_dec_25,0.0017005523
tqwt_energy_dec_17,0.0016543707
tqwt_TKEO_std_dec_34,0.0016241323
mean_Log_energy,0.0016233964
tqwt_energy_dec_10,0.0015839247
tqwt_kurtosisValue_dec_12,0.0015815718
det_TKEO_std_10_coef,0.0015758597
tqwt_energy_dec_18,0.0015727354
tqwt_energy_dec_20,0.001571246
tqwt_energy_dec_34,0.0015605867
tqwt_energy_dec_1,0.001558307
std_11th_delta,0.0015574131
tqwt_entropy_shannon_dec_31,0.0015453586
DFA,0.0015413981
tqwt_TKEO_std_dec_19,0.001540668
tqwt_entropy_log_dec_34,0.0015314303
det_entropy_log_7_coef,0.001528956
tqwt_stdValue_dec_24,0.0015160366
tqwt_meanValue_dec_31,0.0015077218
GNE_NSR_SEO,0.0015031616
tqwt_TKEO_std_dec_26,0.0014823616
app_det_TKEO_mean_4_coef,0.001478376
tqwt_kurtosisValue_dec_11,0.0014721148
det_entropy_shannon_2_coef,0.0014638399
tqwt_TKEO_mean_dec_11,0.0014599327
tqwt_meanValue_dec_16,0.001445568
tqwt_maxValue_dec_9,0.0014449661
tqwt_medianValue_dec_10,0.0014359195
tqwt_kurtosisValue_dec_35,0.0014303189
tqwt_kurtosisValue_dec_17,0.0014268446
det_LT_TKEO_mean_1_coef,0.0014245752
tqwt_skewnessValue_dec_6,0.0014231582
tqwt_TKEO_std_dec_32,0.0014220438
tqwt_skewnessValue_dec_12,0.0014216268
tqwt_kurtosisValue_dec_22,0.0014213385
tqwt_TKEO_mean_dec_36,0.0014156328
tqwt_meanValue_dec_19,0.0014104159
mean_12th_delta,0.0014079455
tqwt_medianValue_dec_1,0.0014051804
tqwt_meanValue_dec_7,0.0014003302
tqwt_minValue_dec_36,0.0013953781
tqwt_medianValue_dec_3,0.001395247
b2,0.0013950636
tqwt_TKEO_mean_dec_21,0.0013931189
tqwt_meanValue_dec_29,0.001381099
tqwt_entropy_log_dec_30,0.0013807459
tqwt_kurtosisValue_dec_8,0.0013769842
VFER_std,0.0013683691
tqwt_kurtosisValue_dec_9,0.0013574818
app_LT_TKEO_mean_3_coef,0.0013568617
mean_10th_delta_delta,0.0013530969
mean_MFCC_5th_coef,0.0013437734
minIntensity,0.0013327445
tqwt_entropy_shannon_dec_22,0.0013318971
stdDevPeriodPulses,0.0013165616
mean_MFCC_9th_coef,0.0013033111
std_1st_delta_delta,0.0012999307
tqwt_medianValue_dec_33,0.0012838682
tqwt_medianValue_dec_34,0.0012798163
tqwt_medianValue_dec_22,0.0012630809
tqwt_entropy_shannon_dec_15,0.0012458662
IMF_NSR_TKEO,0.001235484
tqwt_medianValue_dec_16,0.0012309068
app_TKEO_std_5_coef,0.0012092781
tqwt_kurtosisValue_dec_15,0.0012039371
tqwt_meanValue_dec_26,0.0011939083
app_LT_TKEO_mean_8_coef,0.0011930764
tqwt_entropy_shannon_dec_4,0.0011926099
app_det_TKEO_mean_5_coef,0.0011859915
std_0th_delta,0.0011714059
tqwt_skewnessValue_dec_10,0.0011457537
tqwt_skewnessValue_dec_24,0.0011377573
tqwt_medianValue_dec_30,0.0011291688
std_MFCC_7th_coef,0.0011282233
tqwt_skewnessValue_dec_14,0.001127985
tqwt_minValue_dec_28,0.0011251065
tqwt_kurtosisValue_dec_26,0.0011102478
VFER_SNR_TKEO,0.0011056992
tqwt_medianValue_dec_31,0.0011035135
mean_4th_delta,0.0011026872
mean_MFCC_4th_coef,0.001097785
tqwt_medianValue_dec_6,0.0010956718
tqwt_meanValue_dec_2,0.0010919693
tqwt_maxValue_dec_7,0.0010916514
tqwt_meanValue_dec_20,0.0010915716
tqwt_medianValue_dec_9,0.0010890261
tqwt_minValue_dec_18,0.0010809636
mean_MFCC_12th_coef,0.0010695343
tqwt_entropy_log_dec_1,0.0010680046
mean_1st_delta_delta,0.0010633694
det_entropy_shannon_1_coef,0.0010553664
tqwt_kurtosisValue_dec_33,0.0010549702
tqwt_maxValue_dec_22,0.00105477
tqwt_entropy_log_dec_15,0.0010482592
tqwt_kurtosisValue_dec_23,0.0010347385
VFER_NSR_TKEO,0.0010228422
tqwt_energy_dec_16,0.0010189941
mean_5th_delta_delta,0.0010181355
tqwt_skewnessValue_dec_33,0.0010158814
tqwt_skewnessValue_dec_9,0.0009889384
det_LT_TKEO_std_6_coef,0.0009875541
mean_delta_log_energy,0.0009833171
GQ_std_cycle_open,0.0009724999
det_TKEO_mean_3_coef,0.00096633483
tqwt_medianValue_dec_14,0.0009556421
std_1st_delta,0.0009526352
b4,0.00094342494
tqwt_kurtosisValue_dec_21,0.00093600515
tqwt_kurtosisValue_dec_36,0.00093351514
tqwt_stdValue_dec_20,0.00092311006
tqwt_skewnessValue_dec_21,0.0009194128
tqwt_entropy_shannon_dec_28,0.0009138782
tqwt_medianValue_dec_18,0.00090660277
std_MFCC_4th_coef,0.0009055936
std_5th_delta_delta,0.0008986452
tqwt_meanValue_dec_36,0.0008935177
IMF_SNR_TKEO,0.0008872314
det_LT_entropy_shannon_8_coef,0.0008825655
tqwt_kurtosisValue_dec_4,0.0008779759
tqwt_medianValue_dec_8,0.0008756281
tqwt_TKEO_mean_dec_14,0.0008731429
f1,0.0008655022
mean_1st_delta,0.00086051965
app_LT_entropy_log_5_coef,0.0008533044
tqwt_skewnessValue_dec_18,0.000843743
tqwt_medianValue_dec_28,0.0008301358
tqwt_skewnessValue_dec_15,0.00081430894
tqwt_medianValue_dec_21,0.00081225357
tqwt_medianValue_dec_4,0.0008088482
tqwt_meanValue_dec_24,0.00080033805
std_MFCC_8th_coef,0.00079880265
maxIntensity,0.00079574896
tqwt_kurtosisValue_dec_13,0.00079383573
tqwt_TKEO_mean_dec_22,0.00079277443
det_entropy_shannon_5_coef,0.00079211185
mean_MFCC_10th_coef,0.0007888936
tqwt_minValue_dec_11,0.0007844803
std_MFCC_1st_coef,0.00078002625
mean_5th_delta,0.0007644974
tqwt_kurtosisValue_dec_2,0.0007640702
det_LT_TKEO_std_4_coef,0.0007634858
tqwt_kurtosisValue_dec_20,0.00076097733
tqwt_medianValue_dec_13,0.0007571498
apq3Shimmer,0.0007564962
tqwt_kurtosisValue_dec_31,0.0007466952
tqwt_maxValue_dec_12,0.0007453293
tqwt_maxValue_dec_30,0.0007442669
tqwt_minValue_dec_21,0.00074130745
std_9th_delta,0.00073832675
app_det_TKEO_mean_1_coef,0.0007375254
tqwt_energy_dec_14,0.0007351757
det_entropy_log_4_coef,0.0007316822
tqwt_energy_dec_24,0.0007298984
det_entropy_log_8_coef,0.00071880553
tqwt_medianValue_dec_7,0.00070912536
mean_MFCC_1st_coef,0.000703656
tqwt_meanValue_dec_13,0.00069585023
GNE_SNR_SEO,0.00069218763
tqwt_entropy_shannon_dec_1,0.00069124246
tqwt_TKEO_std_dec_27,0.0006910479
tqwt_entropy_log_dec_31,0.00068921444
mean_4th_delta_delta,0.00068345986
tqwt_minValue_dec_8,0.0006767831
mean_6th_delta_delta,0.00067206286
tqwt_meanValue_dec_22,0.0006631211
det_LT_TKEO_std_5_coef,0.00066170073
tqwt_TKEO_std_dec_20,0.00065653387
tqwt_skewnessValue_dec_30,0.00065501995
mean_8th_delta,0.0006536578
tqwt_kurtosisValue_dec_14,0.00065060845
tqwt_medianValue_dec_35,0.00064356526
tqwt_meanValue_dec_12,0.00063293485
tqwt_entropy_shannon_dec_26,0.00063158164
tqwt_minValue_dec_12,0.0006163807
tqwt_skewnessValue_dec_23,0.0006085789
tqwt_maxValue_dec_2,0.00060783705
tqwt_meanValue_dec_25,0.0006073329
tqwt_meanValue_dec_8,0.00060709834
std_MFCC_5th_coef,0.00060440646
mean_MFCC_8th_coef,0.00059633824
det_LT_entropy_log_2_coef,0.00059564307
tqwt_meanValue_dec_1,0.00059127406
tqwt_kurtosisValue_dec_34,0.00056691177
tqwt_maxValue_dec_35,0.0005633617
tqwt_entropy_shannon_dec_24,0.00055421796
tqwt_meanValue_dec_30,0.0005531665
tqwt_energy_dec_28,0.00055104686
tqwt_kurtosisValue_dec_19,0.00054219045
tqwt_meanValue_dec_3,0.0005404223
tqwt_kurtosisValue_dec_5,0.000534367
mean_7th_delta_delta,0.000532864
tqwt_skewnessValue_dec_16,0.0005295834
mean_delta_delta_0th,0.0005255543
IMF_NSR_entropy,0.0005247539
tqwt_entropy_log_dec_11,0.00051790616
tqwt_stdValue_dec_2,0.00050872896
det_TKEO_std_5_coef,0.0005040429
app_det_TKEO_mean_2_coef,0.00048802857
det_LT_TKEO_mean_9_coef,0.00048255568
GNE_std,0.00048180082
tqwt_medianValue_dec_20,0.00048047083
Ed_8_coef,0.00047729496
tqwt_minValue_dec_2,0.00047149687
tqwt_skewnessValue_dec_3,0.00047073135
tqwt_maxValue_dec_20,0.0004703701
tqwt_minValue_dec_9,0.00046889877
std_3rd_delta_delta,0.00046279427
tqwt_entropy_shannon_dec_29,0.00045791332
tqwt_skewnessValue_dec_1,0.00045384277
det_TKEO_mean_10_coef,0.000445869
tqwt_meanValue_dec_15,0.00044379904
tqwt_maxValue_dec_28,0.0004409014
tqwt_energy_dec_36,0.00043707527
mean_delta_delta_log_energy,0.0004317226
tqwt_entropy_shannon_dec_7,0.00042754365
tqwt_minValue_dec_24,0.0004245913
tqwt_entropy_log_dec_4,0.00041480773
tqwt_minValue_dec_16,0.00041403872
std_2nd_delta_delta,0.0004093936
tqwt_meanValue_dec_10,0.00040334434
IMF_SNR_entropy,0.00040286765
tqwt_skewnessValue_dec_13,0.0003964091
tqwt_medianValue_dec_15,0.00039493956
tqwt_maxValue_dec_31,0.0003904947
tqwt_skewnessValue_dec_29,0.00038662055
tqwt_maxValue_dec_16,0.000384535
tqwt_meanValue_dec_34,0.00038310367
tqwt_entropy_log_dec_2,0.00038119857
tqwt_entropy_shannon_dec_30,0.00038069658
det_LT_entropy_shannon_4_coef,0.00037799278
GQ_prc5_95,0.0003769877
mean_11th_delta,0.00037695045
VFER_NSR_SEO,0.00037256262
tqwt_skewnessValue_dec_8,0.00037051798
det_LT_TKEO_mean_5_coef,0.00036651845
mean_7th_delta,0.00036556556
f2,0.0003632312
tqwt_meanValue_dec_33,0.00035832264
tqwt_entropy_shannon_dec_33,0.00035721733
tqwt_skewnessValue_dec_2,0.00035153687
tqwt_skewnessValue_dec_27,0.00035084182
mean_MFCC_11th_coef,0.00034385597
det_LT_entropy_shannon_6_coef,0.00033812455
std_5th_delta,0.0003370286
tqwt_medianValue_dec_32,0.0003363971
tqwt_TKEO_std_dec_36,0.00033316496
tqwt_meanValue_dec_9,0.0003260741
tqwt_meanValue_dec_23,0.00032464467
det_TKEO_std_1_coef,0.00032246922
tqwt_entropy_log_dec_9,0.00032219847
tqwt_entropy_log_dec_29,0.0003159501
