Model,Accuracy,Recall,F1-Score,AUC-ROC,Features
Logistic Regression,0.8146174863387978,0.9467632850241546,0.8844060947859382,0.8017930756843802,4 PCA
SVM,0.8162295081967214,0.9600483091787438,0.8865931275987509,0.7835684380032206,4 PCA
XGBoost,0.7965573770491803,0.911400966183575,0.869767503110484,0.8192000805152979,4 PCA
