duration_seconds,hnr_mean,jitter_local,mfcc_10_max,mfcc_10_mean,mfcc_10_min,mfcc_10_std,mfcc_11_max,mfcc_11_mean,mfcc_11_min,mfcc_11_std,mfcc_12_max,mfcc_12_mean,mfcc_12_min,mfcc_12_std,mfcc_13_max,mfcc_13_mean,mfcc_13_min,mfcc_13_std,mfcc_1_max,mfcc_1_mean,mfcc_1_min,mfcc_1_std,mfcc_2_max,mfcc_2_mean,mfcc_2_min,mfcc_2_std,mfcc_3_max,mfcc_3_mean,mfcc_3_min,mfcc_3_std,mfcc_4_max,mfcc_4_mean,mfcc_4_min,mfcc_4_std,mfcc_5_max,mfcc_5_mean,mfcc_5_min,mfcc_5_std,mfcc_6_max,mfcc_6_mean,mfcc_6_min,mfcc_6_std,mfcc_7_max,mfcc_7_mean,mfcc_7_min,mfcc_7_std,mfcc_8_max,mfcc_8_mean,mfcc_8_min,mfcc_8_std,mfcc_9_max,mfcc_9_mean,mfcc_9_min,mfcc_9_std,path_depth,pitch_max,pitch_mean,pitch_min,pitch_std,rms_max,rms_mean,rms_min,rms_std,row_index,shimmer_local,signal_energy,signal_std,spectral_bandwidth_max,spectral_bandwidth_mean,spectral_bandwidth_min,spectral_bandwidth_std,spectral_centroid_max,spectral_centroid_mean,spectral_centroid_min,spectral_centroid_std,spectral_flatness_max,spectral_flatness_mean,spectral_flatness_min,spectral_flatness_std,spectral_rolloff_max,spectral_rolloff_mean,spectral_rolloff_min,spectral_rolloff_std,zcr_max,zcr_mean,zcr_min,zcr_std,target
10.0,15.528523385600973,0.0,21.641544342041016,4.048684258134971,-22.28152847290039,7.012292659012578,12.958133697509766,-4.695069982417429,-28.494754791259766,7.372586063907583,24.99132537841797,4.479245256727643,-11.916459083557129,5.3891131718177725,21.715490341186523,3.5838182764063027,-17.05389976501465,7.5901964029508155,-455.7194519042969,-664.1207415587388,-702.2655029296875,32.028184079321285,117.08036041259766,82.591474763202,32.757476806640625,14.796335398268074,93.19813537597656,65.19237310907819,-1.8239890336990356,12.814293166667023,57.380821228027344,33.53125777266695,3.753844738006592,8.266884620907854,32.055946350097656,14.056543806969705,-2.5976626873016357,5.842277862907495,36.10211944580078,13.173339172553815,-0.8222335577011108,6.534476147340288,27.435924530029297,2.5933207207361533,-13.709604263305664,5.692973893723849,30.222049713134766,7.692211500868167,-17.34649658203125,5.479747875965381,17.25806427001953,-1.9185517216209331,-22.21558380126953,5.701590874839179,4.0,501.1363636363636,107.33529301657794,50.0,103.8516880021945,0.007811295334249735,0.0011429058762578933,0.0002697861928027123,0.0009943385236906676,0,0.0,2.2968833945924416e-06,0.0015089884400367737,7423.610853952484,6515.5698186381915,4603.818808023263,464.2418540391897,9489.982780097225,5180.766963998247,1822.6658236623962,1229.581006175062,0.13087329268455505,0.013662019808462815,8.164368773577735e-05,0.015507752234558646,17226.5625,13677.181178400522,2304.052734375,1955.4025000746026,0.19873046875,0.05636929469982599,0.0,0.03369593274421982,0
10.0,15.77783899760408,0.0,26.39063262939453,5.270751712519649,-6.116756916046143,4.480161052086004,6.5900750160217285,-5.195619871437964,-19.894241333007812,4.891647641328438,19.155929565429688,4.449389482850507,-9.440038681030273,4.713717514960178,19.143152236938477,3.712332945507184,-9.404212951660156,4.936057244896124,-570.9486694335938,-681.9913782531313,-710.9644165039062,16.704249940089902,98.11554718017578,78.69466062045706,34.34593963623047,9.49695146810435,83.87161254882812,67.96794402350406,37.19453430175781,7.8498305013861325,53.90681457519531,32.8729039189987,17.163724899291992,5.148107030153577,35.195770263671875,12.195705774384972,-2.069737195968628,5.326700707511734,29.578819274902344,10.659653435333734,-4.691681861877441,5.006008019810305,19.785884857177734,0.9360990016062133,-11.466516494750977,4.807989152617645,23.45005226135254,6.397320485083935,-10.022197723388672,5.200709045238911,23.018003463745117,-1.0196868907833114,-12.977404594421387,4.564122706057687,4.0,501.1363636363636,70.66540740165001,50.0,54.96050470843212,0.005736267194151878,0.0007618895585908286,0.00021325978741515428,0.0007573569005597485,1,0.0,1.1552315299923066e-06,0.0010682984720915556,7287.006715351713,6797.402071844486,4842.392246687363,266.85649612353626,8684.403501032752,5782.680155914919,2051.6685339553305,896.026240794767,0.16922713816165924,0.018725765980743662,0.0002567726478446275,0.018581746891344262,16968.1640625,14561.266551714762,4414.306640625,1100.4993796438703,0.2734375,0.07472798995794663,0.0,0.03429329642905506,0
10.0,7.750728526150394,0.0,27.985692977905273,5.561832663821372,-31.85004234313965,8.15953068703936,20.763046264648438,-1.3585355634090173,-28.385019302368164,7.1620672129859,28.985591888427734,3.5923694398539388,-22.779281616210938,6.6175791759938924,21.70188331604004,0.3025243039871728,-33.049400329589844,7.182942877638375,-155.2371063232422,-550.1575809133578,-670.5145263671875,71.87659577972524,177.04180908203125,60.85739963271779,-25.067405700683594,34.8246688118354,92.98870849609375,38.334376192286506,-40.17158508300781,19.729224955459,94.951416015625,28.18114623178462,-14.89168930053711,16.84010349479296,75.92210388183594,10.83261960896981,-28.134193420410156,12.66178340822798,38.00639343261719,13.394071205983721,-27.212671279907227,9.671449815056377,26.424156188964844,-4.715979146466454,-46.43622970581055,9.79771848700441,33.659393310546875,6.6768823495251395,-28.351848602294922,8.601484932248503,21.454757690429688,-2.9765908008229567,-43.18250274658203,8.488573842356924,4.0,501.1363636363636,129.59403024607028,50.0,124.56620393384104,0.043419864028692245,0.003102393568130945,0.0003469566290732473,0.005793628204264838,2,0.0,4.322913446230814e-05,0.006573105230927467,7430.332712463084,6183.024481936512,2872.8986628150155,798.5601996273139,11516.709748783125,6774.061959707362,759.5485332372606,2096.4097847461558,0.4027636647224426,0.07839314385779213,1.1694378372339997e-05,0.07920141061575144,19143.017578125,14040.173028295389,21.533203125,3280.5823559752716,0.5078125,0.152850157700116,0.0,0.0999025360167449,0
10.0,14.994510987398401,0.0,26.085594177246094,8.286098518480143,-14.04408073425293,5.723612505982227,13.802224159240723,-0.3316318052377889,-24.172500610351562,6.393432361678504,18.623781204223633,3.202533048506299,-20.736412048339844,6.531911181729065,21.308536529541016,9.285123704826749,-10.430450439453125,5.079258827136339,-542.3095703125,-667.1805702439593,-703.7132568359375,25.74287078938413,118.23222351074219,79.89609040682942,3.500308036804199,18.756727370023647,97.24758911132812,68.70583735043377,6.524348258972168,13.373045184035993,46.83875274658203,28.524622486631998,-1.6738314628601074,7.611388675934188,35.494102478027344,12.539882553875309,-6.5548906326293945,6.591415113105981,54.93450164794922,8.04315040796442,-6.542255401611328,6.450108387141107,16.672657012939453,0.9158145466024216,-20.57727813720703,5.545686352457726,27.019906997680664,8.206261796863823,-7.64339542388916,5.240722559031804,17.784360885620117,-0.4724899980557214,-19.611177444458008,5.496950991463666,4.0,501.1363636363636,98.60885025454125,50.0,109.11036294143474,0.006217151880264282,0.0009643953920070843,0.0003509275265969336,0.0006993134004907481,3,0.0,1.4205597835825756e-06,0.0011857165955007076,8037.292473305751,6767.4401585052565,4793.304467648674,606.1788099495752,10799.173200043668,5767.38302429378,1981.7797762000323,1583.5149583750915,0.35726529359817505,0.020494470470877994,0.00019406033970881253,0.040541310376547485,19315.283203125,14591.8427009317,2928.515625,2237.439085641297,0.4736328125,0.07390493583236658,0.0,0.05937463485412621,0
10.0,10.22449637673724,0.0,22.217796325683594,6.63628589700726,-13.976863861083984,4.947131914137741,15.150932312011719,0.6251120912710642,-18.62002944946289,4.787037946217283,19.319046020507812,5.4368818916051955,-19.237056732177734,4.983430406916589,14.167634010314941,1.0685818551881823,-11.369733810424805,4.211151092118833,-477.5746765136719,-674.7783437140304,-718.1903686523438,44.59806415127744,170.3567657470703,73.19061576683947,15.016363143920898,20.34196718474336,83.07579040527344,50.37665398118114,-15.73614501953125,13.68482826951583,81.71498107910156,22.21792972226154,-22.1689395904541,10.03707019502819,40.40522003173828,10.960415937041047,-26.416749954223633,8.156902825717943,40.02729415893555,18.074502357646928,-27.56814193725586,7.865208957623111,28.76276397705078,8.418179935514235,-31.232933044433594,8.879678257537174,34.77671813964844,13.619127484509535,-5.163015365600586,5.860302019443181,21.942726135253906,5.129416822280795,-18.702558517456055,4.982189732188762,4.0,254.89079312872346,75.0420092847614,50.0,33.96657229480542,0.006619105581194162,0.0007414965579186819,0.00018595060100778937,0.0009343696676147194,4,0.0,1.42419014537154e-06,0.001187280286103487,7200.711977052625,6732.707377009173,3960.443106819481,644.0198785232202,10129.019023195833,6323.932390427052,1928.8044599528434,1214.898238187454,0.16924095153808594,0.02796270566345695,0.0002457968075759709,0.023253636636280103,17248.095703125,14533.663083671694,1658.056640625,2481.976509138157,0.279296875,0.09361461807569606,0.0,0.04479189792906349,0
10.0,10.489902862244513,0.0,32.058528900146484,9.35303338058725,-27.91938018798828,7.235191481822107,25.948707580566406,-1.020394547829478,-34.81291961669922,6.206449484143504,21.73868179321289,-0.7477129620787301,-19.152162551879883,6.885158388323966,27.477272033691406,3.4081333617910983,-21.048965454101562,6.071711773169584,-351.9957275390625,-634.4210280841022,-725.5588989257812,72.95854606674358,169.8685760498047,64.65190221441871,-57.57868194580078,31.539235813152818,90.52891540527344,44.863595400117944,-52.652610778808594,20.291327442596927,53.72502136230469,20.61751912005263,-41.46672058105469,13.29540136825568,57.27571105957031,11.568578219546865,-32.81535339355469,10.073092006722657,39.627296447753906,15.466589498443836,-27.4783992767334,7.9020047920908,34.83675765991211,3.350983630338567,-57.496192932128906,11.469612750779913,35.979705810546875,10.673992431737707,-21.7171630859375,6.824141403253175,21.261394500732422,1.9564760361685745,-43.647178649902344,9.828090615792972,4.0,501.1363636363636,117.85883323068366,50.0,100.20249289785757,0.01989646442234516,0.001660443849602591,0.0002550485951360315,0.0028448126716732187,5,0.0,1.0860356269404292e-05,0.0032934630289673805,8110.189713372357,6500.706380579446,3257.7171573204514,783.3619866056864,12178.587300056679,6658.6996819880305,1036.0823617798808,2091.2055215624177,0.3363378942012787,0.04692022358263624,2.5983777959481813e-05,0.05693650132942027,19272.216796875,14678.525084741153,86.1328125,3188.4782328379947,0.54248046875,0.11332543322215777,0.0,0.09349932712020237,0
10.0,15.309126547995824,0.0,26.592796325683594,10.553161525048678,-8.87025260925293,5.674687800684342,21.351390838623047,3.3297702853120605,-17.661815643310547,5.262722477908668,23.17864227294922,7.568387123218061,-11.249946594238281,5.050457602729741,16.555702209472656,2.284002219233878,-13.807106018066406,4.517115390841832,-375.0221252441406,-639.429747543866,-695.4346313476562,52.90154865272877,137.925537109375,85.29270372562232,-36.84618377685547,24.364781930988187,65.78588104248047,41.05813601982981,-0.41696760058403015,9.35652745635136,70.83950805664062,9.24201900236905,-25.538101196289062,14.260574633805835,31.031246185302734,8.146222710592149,-23.820995330810547,6.724484694108624,33.65431213378906,12.00455538700324,-10.086796760559082,5.613705021176295,25.822052001953125,0.12173959181542462,-18.806968688964844,5.780533984078003,40.08983612060547,15.935798433499103,-21.190380096435547,6.748368157510354,25.36893653869629,2.54706239226661,-20.233266830444336,7.148552104594523,4.0,501.1363636363636,109.03539566984749,50.0,97.02813968815192,0.019319823011755943,0.0013551129801849793,0.00029173551592975855,0.002456601588637261,6,0.0,7.877602911321446e-06,0.00280415709130466,7500.528922067784,6497.875659784401,3848.4310716914815,443.00373309029476,13072.222035642848,5664.352033095059,1469.0969108544048,1339.390956929385,0.313846230506897,0.025881174435207214,6.606851820833981e-05,0.037336468895007816,19250.68359375,14051.289357054815,2088.720703125,1653.3913864741155,0.3310546875,0.07621379241589327,0.0,0.046308087202311825,0
10.0,10.341967407991612,0.0,26.125926971435547,7.132884768004208,-6.285508155822754,4.416681314279525,18.53448486328125,1.589842066021848,-12.729347229003906,4.386064907285025,25.231464385986328,5.62766584732814,-10.309732437133789,4.6837340579727895,15.424537658691406,4.6142967786216404,-11.585164070129395,4.268492858731515,-503.5795593261719,-707.4781001327763,-740.8936157226562,37.88807824159983,126.02169036865234,69.74873709291427,2.991011619567871,16.23027706828846,70.60893249511719,52.87452345975867,-15.415325164794922,10.161483699339945,43.13391876220703,20.318844224903255,-2.8733725547790527,6.849846036289575,25.475570678710938,11.150007841084369,-19.962787628173828,5.7183240987756365,31.32986068725586,14.972402217354963,-14.098506927490234,5.075807066476084,27.22433090209961,10.930533051801945,-3.0962092876434326,4.751479068012131,31.347049713134766,11.931679477789839,-15.367026329040527,5.281712568994131,21.519054412841797,4.941861561700494,-17.529743194580078,4.568527210556331,4.0,501.1363636363636,98.40946469657513,50.0,87.73180419900804,0.005669150501489639,0.0005922595137699719,0.00012975053687114269,0.0006806176396499961,7,0.0,8.149081622832455e-07,0.0008947085589170456,7849.748302916919,6941.239329839699,5010.5354830539145,318.03655326083333,10235.073119597497,6310.225098470952,2083.949311311003,1209.1797175425058,0.2998369336128235,0.027118590368924455,9.597477765055373e-05,0.0377842967976291,18583.154296875,15497.111550174013,4801.904296875,1451.4892949779166,0.3193359375,0.0773166736151392,0.0,0.05038409224108802,0
10.0,11.583688749748507,0.0,23.655752182006836,8.11972607622083,-12.992548942565918,5.145353219508577,23.501163482666016,2.2169433587345266,-28.4481201171875,6.128560978537332,18.104740142822266,4.242602966967841,-18.410232543945312,5.243385041449144,21.194927215576172,3.3230271589555485,-12.280691146850586,4.900865945463538,-348.3542785644531,-635.3063430255085,-718.6390380859375,61.81321303421642,143.28353881835938,73.2614877348433,2.4962780475616455,21.146691365572213,69.65571594238281,39.476834039521464,-62.598472595214844,19.84608681492695,61.826839447021484,23.124786938426112,-17.152915954589844,11.233834650699379,52.75819396972656,10.912609202731097,-24.949737548828125,8.312508590485058,40.73375701904297,14.554877043531002,-13.507392883300781,7.126368055706756,32.09404754638672,8.303388879239005,-15.083048820495605,6.615389467681282,41.690032958984375,14.831917708683456,-13.464195251464844,7.193242605827747,19.589950561523438,2.9132459528242904,-17.683195114135742,6.207667550424347,4.0,501.1363636363636,111.46610273801095,50.0,107.99514159750338,0.02203752100467682,0.0017817814801260505,0.0002778189373202622,0.003013165666719943,8,0.0,1.2263715689186938e-05,0.0034998420160263777,7433.8563347748695,6363.020390565123,3067.498564414553,716.1600353146655,10208.104841919368,5599.259189965464,960.4334276724812,1588.5041209880767,0.30493640899658203,0.02959788041904374,2.5471246772212908e-05,0.039837147231890316,17764.892578125,13670.386478574535,64.599609375,3199.8599963675724,0.353515625,0.07271312173723898,0.0,0.054600217000796786,0
10.0,11.846151324369146,0.0,34.840972900390625,10.706051900930996,-10.147974014282227,5.488083266250034,28.01351547241211,3.6826038689389304,-15.085454940795898,5.901481335347337,21.473060607910156,6.509218179847691,-19.51723289489746,5.770206542140688,21.542451858520508,4.826033126130666,-15.757087707519531,5.191542955829467,-364.66302490234375,-647.6134023644255,-719.32666015625,61.71576035728453,136.3927001953125,63.2485967109762,-41.57538604736328,24.612342803633904,87.35904693603516,48.493350029579446,-8.892987251281738,14.954696864826465,74.7041015625,27.656816069321952,3.2564444541931152,9.872999910688288,35.584022521972656,13.48304833350768,-14.572028160095215,6.85714452729193,46.976783752441406,12.060370566310434,-10.313247680664062,6.41587804858697,18.859283447265625,2.1071918641590877,-26.944501876831055,5.486927107094749,30.588233947753906,10.52186141400371,-27.49823760986328,6.9473833318409755,21.307788848876953,3.3011179162349267,-20.695056915283203,5.546084532546226,4.0,501.1363636363636,108.64319263029992,50.0,108.94599707484286,0.016691109165549278,0.0013387401053723026,0.0002935504890047014,0.0022533643836125956,9,0.0,6.87554529577028e-06,0.0026193191297352314,7806.382827938343,6620.817674541128,3264.127841183227,571.9266619394515,13304.611436716428,6601.816969359064,884.2362634209776,1864.8870112372792,0.3442384898662567,0.042187314430504046,1.876403985079378e-05,0.04968594507436355,19681.34765625,14967.274846831497,43.06640625,2358.785910944194,0.4755859375,0.10304377084541763,0.0,0.0774289592165412,0
