model_name,fold,accuracy,recall,f1,roc_auc,fit_sample_count
LogisticRegression,1,0.8421052631578947,0.8421052631578947,0.8888888888888888,0.9335180055401662,680
LogisticRegression,2,0.6842105263157895,0.6842105263157895,0.7647058823529411,0.8014773776546629,680
LogisticRegression,3,0.7236842105263158,0.7543859649122807,0.8037383177570093,0.8328716528162512,680
LogisticRegression,4,0.7368421052631579,0.7017543859649122,0.8,0.9205909510618652,680
LogisticRegression,5,0.7368421052631579,0.7321428571428571,0.803921568627451,0.8473214285714286,680
LogisticRegression,6,0.7368421052631579,0.7142857142857143,0.8,0.8741071428571429,680
LogisticRegression,7,0.7333333333333333,0.6785714285714286,0.7916666666666666,0.9135338345864662,681
LogisticRegression,8,0.7066666666666667,0.6964285714285714,0.78,0.818609022556391,681
LogisticRegression,9,0.68,0.6785714285714286,0.76,0.7913533834586466,681
LogisticRegression,10,0.7333333333333333,0.7857142857142857,0.8148148148148148,0.7725563909774436,681
SVM,1,0.8552631578947368,0.8596491228070176,0.8990825688073395,0.9538319482917821,680
SVM,2,0.8421052631578947,0.8947368421052632,0.8947368421052632,0.8744228993536473,680
SVM,3,0.868421052631579,0.9122807017543859,0.9122807017543859,0.9058171745152355,680
SVM,4,0.7631578947368421,0.7719298245614035,0.8301886792452831,0.8476454293628809,680
SVM,5,0.8421052631578947,0.8928571428571429,0.8928571428571429,0.8955357142857143,680
SVM,6,0.7894736842105263,0.8571428571428571,0.8571428571428571,0.8714285714285714,680
SVM,7,0.8533333333333334,0.8392857142857143,0.8952380952380953,0.9295112781954887,681
SVM,8,0.8133333333333334,0.8392857142857143,0.8703703703703703,0.8693609022556391,681
SVM,9,0.76,0.7857142857142857,0.8301886792452831,0.8223684210526316,681
SVM,10,0.8533333333333334,0.8928571428571429,0.9009009009009009,0.855263157894737,681
