model_name,mean_accuracy,mean_recall,mean_f1,mean_roc_auc,mean_fit_sample_count
SVM,0.8240526315789474,0.8545739348370928,0.8782986837666922,0.8825185496636327,680.4
LogisticRegression,0.7313859649122807,0.7268170426065164,0.8007736139107772,0.8505939190080465,680.4
